PELLID,Institution,City,State,Recipients,Awards
001347,Colorado College,Colorado Springs,CO,312,"619,650"
004506,Colorado Mountain College,Glenwood Springs,CO,390,"630,379"
001359,Colorado Northwestern Community College,Rangely,CO,193,"373,617"
001348,Colorado School of Mines,Golden,CO,434,"828,855"
001350,Colorado State University,Fort Collins,CO,"3,678","6,712,758"
016058,Community College of Aurora Centretech Campus,Aurora,CO,714,"1,103,581"
009542,Community College of Denver,Denver,CO,"1,971","3,259,667"
014050,Delta-Montrose Area Vocational Technical Center,Delta,CO,147,"262,673"
005596,Emily Griffith Opportunity School,Denver,CO,168,"186,369"
001353,FORT LEWIS COLLEGE,Durango,CO,"1,119","2,140,395"
007933,Front Range Community College-Westminster Campus,Westminster,CO,"2,146","3,302,869"
001355,Lamar Community College,Lamar,CO,359,"724,527"
001358,Mesa State College,Grand Junction,CO,"1,736","3,234,140"
033063,Montessori Education Center of the Rockies,Boulder,CO,1,"1,562"
009981,Morgan Community College,Fort Morgan,CO,430,"720,839"
014652,Naropa University,Boulder,CO,138,"273,812"
013007,Nazarene Bible College,Colorado Springs,CO,261,"418,970"
001361,Northeastern Junior College,Sterling,CO,467,"857,060"
