PELLID,Institution,State,Recipients,Awards,
14435,Cuyamaca College                                                      ,CA,842,"1,635,172",
14557,Cynthia'S Beauty Academy                                              ,CA,450,"993,391",
1193,Cypress College                                                       ,CA,"2,207","4,477,042",
4480,De Anza Community College                                             ,CA,"1,611","3,267,664",
30256,Dell'Arte School Of Physical Theatre                                  ,CA,3,"6,400",
32004,Desert Career College                                                 ,CA,136,"256,684",
16233,Design Institute Of San Diego                                         ,CA,91,"179,181",
16524,Devry Institute Of Technology-Pomona                                  ,CA,"4,694","9,397,327",
1191,Diablo Valley College                                                 ,CA,866,"1,679,166",
17136,Diversified Language Institute-Los Angeles                            ,CA,503,"993,351",
1196,Dominican College Of San Rafael                                       ,CA,340,"734,102",
9158,Don Bosco Technical Institute                                         ,CA,29,"67,312",
34794,Donald Vocational School                                              ,CA,25,"52,030",
31095,Dongguk Royal University                                              ,CA,26,"46,906",
10229,D-Q University                                                        ,CA,139,"192,149",
1222,East Los Angeles College                                              ,CA,"2,724","5,858,047",
33943,Education America University                                          ,CA,223,"342,408",
1197,El Camino College District                                            ,CA,"2,497","4,993,250",
14484,Elegance International                                                ,CA,2,"2,750",
12650,Elegante Beauty Colleges                                              ,CA,81,"191,372",
12651,Elegante Beauty Colleges                                              ,CA,54,"92,311",
13598,Elegante Beauty Colleges                                              ,CA,41,"75,011",
14846,Elegante Beauty Colleges                                              ,CA,91,"186,878",
30944,Elite Progressive School Of Cosmetology                               ,CA,41,"103,380",
9032,Empire College                                                        ,CA,364,"722,906",
34134,English Center For International Women                                ,CA,53,"112,242",
30877,Escuelas  Leicester                                                   ,CA,44,"125,575",
15125,Estes Institute Of Cosmetology Arts & Sciences                        ,CA,54,"107,395",
12452,Evergreen Valley College                                              ,CA,"1,136","2,366,120",
15756,Fashion Careers Of California College                                 ,CA,79,"151,151",
11112,Fashion Institute Of Design & Merchandising -                         ,CA,"1,424","2,834,326",
8597,Feather River Community College                                       ,CA,209,"434,163",
7253,Federico College Of Hairstyling                                       ,CA,144,"240,074",
31313,Five Branches Institute                                               ,CA,10,"18,487",
1199,Foothill College                                                      ,CA,439,"866,398",
32713,"Foundation College, San Diego                                         ",CA,5,"9,075",
31623,Four-D Success Academy                                                ,CA,195,"345,003",
13557,Fredrick And Charles Beauty College                                   ,CA,29,"65,562",
1307,Fresno City College                                                   ,CA,"7,407","13,643,794",
1253,Fresno Pacific University                                             ,CA,498,"1,018,199",
1201,Fullerton College                                                     ,CA,"2,163","4,208,181",
12027,Galen College Of California                                           ,CA,554,"981,014",
1202,Gavilan College                                                       ,CA,469,"948,997",
15765,Gemological Institute Of America                                      ,CA,30,"59,427",
34323,Gendarme Institute                                                    ,CA,134,"301,352",
16581,Glendale Career College                                               ,CA,"1,177","2,279,117",
1203,Glendale Community College                                            ,CA,"3,756","7,793,962",
1205,Golden Gate University                                                ,CA,143,"230,339",
1206,Golden West College                                                   ,CA,"2,012","4,539,067",
1208,Grossmont College                                                     ,CA,"2,378","4,393,481",
12522,Hacienda La Puente Adult Education                                    ,CA,240,"437,072",
14599,Hairmasters University Of Beauty                                      ,CA,46,"91,007",
31954,Harbor Medical College                                                ,CA,109,"158,814",
1209,Hartnell Community College                                            ,CA,"1,632","2,956,171",
1171,Harvey Mudd College                                                   ,CA,79,"163,100",
7234,Heald College                                                         ,CA,"2,012","3,801,175",
7477,Heald College                                                         ,CA,682,"1,334,822",
8093,Heald College                                                         ,CA,875,"1,846,386",
8532,Heald College                                                         ,CA,"1,045","2,215,908",
15974,Heald College                                                         ,CA,224,"422,504",
25932,Heald College                                                         ,CA,742,"1,474,632",
14111,"Heald College, School Of Business                                     ",CA,268,"546,551",
15453,"Heald College, Schools Of Business And Technology                     ",CA,636,"1,184,111",
25931,"Heald College, Schools Of Business And Technology                     ",CA,698,"1,284,589",
25933,"Heald College, Schools Of Business And Technology                     ",CA,582,"1,211,550",
30340,"Heald College, Schools Of Business And Technology                     ",CA,725,"1,517,739",
25892,Healthstaff Training Institute                                        ,CA,20,"26,891",
14813,Hilltop Beauty School                                                 ,CA,151,"311,585",
1183,Holy Names College                                                    ,CA,143,"268,326",
1252,Hope International University                                         ,CA,242,"433,893",
1149,Humboldt State University                                             ,CA,"2,818","6,631,615",
1212,Humphreys College                                                     ,CA,510,"911,106",
16803,Huntington College Of Dental Technology                               ,CA,23,"21,055",
